=== ALU UNIT TEST REPORT ===
PASS | Op: XOR A: 0x3524 B: 0x5e81 -> Res=0x6ba5 Z=0
PASS | Op: OR A: 0xf61e B: 0x50d -> Res=0xf71f Z=0
PASS | Op: SUB A: 0x2441 B: 0x643b -> Res=0xc006 Z=0
PASS | Op: AND A: 0xfae2 B: 0xe204 -> Res=0xe200 Z=0
PASS | Op: ADD A: 0x1239 B: 0xb6e5 -> Res=0xc91e Z=0
PASS | Op: ADD A: 0xf2b B: 0x5d81 -> Res=0x6cac Z=0
PASS | Op: AND A: 0x2b2b B: 0x1bf5 -> Res=0xb21 Z=0
PASS | Op: ADD A: 0xa6e7 B: 0x90b9 -> Res=0x37a0 Z=0
PASS | Op: XOR A: 0xbbdb B: 0xfc9 -> Res=0xb412 Z=0
PASS | Op: SUB A: 0x5ea1 B: 0xdd2a -> Res=0x8177 Z=0
PASS | Op: XOR A: 0x2045 B: 0x583 -> Res=0x25c6 Z=0
PASS | Op: ADD A: 0x1472 B: 0x3cfe -> Res=0x5170 Z=0
PASS | Op: OR A: 0xaa6f B: 0xd86 -> Res=0xafef Z=0
PASS | Op: AND A: 0xa9f6 B: 0x1ac5 -> Res=0x8c4 Z=0
PASS | Op: XOR A: 0x873c B: 0x932a -> Res=0x1416 Z=0
PASS | Op: AND A: 0x3515 B: 0x4ee1 -> Res=0x401 Z=0
PASS | Op: XOR A: 0xee43 B: 0xe3c9 -> Res=0xd8a Z=0
PASS | Op: ADD A: 0xe25a B: 0x2707 -> Res=0x961 Z=0
PASS | Op: ADD A: 0xe5b6 B: 0xc2f7 -> Res=0xa8ad Z=0
PASS | Op: ADD A: 0x585c B: 0xf755 -> Res=0x4fb1 Z=0
PASS | Op: SUB A: 0xf5dd B: 0xf00d -> Res=0x5d0 Z=0
PASS | Op: XOR A: 0x4279 B: 0xda9e -> Res=0x98e7 Z=0
PASS | Op: ADD A: 0xd27b B: 0x738f -> Res=0x460a Z=0
PASS | Op: ADD A: 0x29e3 B: 0x431d -> Res=0x6d00 Z=0
PASS | Op: OR A: 0x78ed B: 0x1552 -> Res=0x7dff Z=0
PASS | Op: XOR A: 0xb78d B: 0xc452 -> Res=0x73df Z=0
PASS | Op: OR A: 0xfd46 B: 0x928c -> Res=0xffce Z=0
PASS | Op: OR A: 0xc117 B: 0x616a -> Res=0xe17f Z=0
PASS | Op: ADD A: 0xbcaa B: 0xf7c -> Res=0xcc26 Z=0
PASS | Op: XOR A: 0x7c49 B: 0xb014 -> Res=0xcc5d Z=0
PASS | Op: AND A: 0x34b B: 0x305c -> Res=0x48 Z=0
PASS | Op: ADD A: 0x9786 B: 0x7a39 -> Res=0x11bf Z=0
PASS | Op: OR A: 0xe5d0 B: 0x502c -> Res=0xf5fc Z=0
PASS | Op: OR A: 0xb707 B: 0x406a -> Res=0xf76f Z=0
PASS | Op: XOR A: 0xffe8 B: 0x9e4b -> Res=0x61a3 Z=0
PASS | Op: XOR A: 0x5bec B: 0x523 -> Res=0x5ecf Z=0
PASS | Op: XOR A: 0x65c9 B: 0x439 -> Res=0x61f0 Z=0
PASS | Op: ADD A: 0x14d4 B: 0x6567 -> Res=0x7a3b Z=0
PASS | Op: ADD A: 0x25b0 B: 0x3982 -> Res=0x5f32 Z=0
PASS | Op: ADD A: 0x1ad9 B: 0xb720 -> Res=0xd1f9 Z=0
PASS | Op: ADD A: 0x6f93 B: 0x61e3 -> Res=0xd176 Z=0
PASS | Op: AND A: 0xf8c8 B: 0x2e5d -> Res=0x2848 Z=0
PASS | Op: OR A: 0xa984 B: 0xa82b -> Res=0xa9af Z=0
PASS | Op: AND A: 0x1c12 B: 0x52 -> Res=0x12 Z=0
PASS | Op: AND A: 0x96d0 B: 0xea6e -> Res=0x8240 Z=0
PASS | Op: XOR A: 0x87db B: 0x77a6 -> Res=0xf07d Z=0
PASS | Op: ADD A: 0x7c00 B: 0x4c0f -> Res=0xc80f Z=0
PASS | Op: SUB A: 0x620c B: 0x1959 -> Res=0x48b3 Z=0
PASS | Op: AND A: 0xa469 B: 0xcd77 -> Res=0x8461 Z=0
PASS | Op: XOR A: 0xb1b8 B: 0xf2b7 -> Res=0x430f Z=0
PASS | Op: XOR A: 0x5a30 B: 0x5377 -> Res=0x947 Z=0
PASS | Op: XOR A: 0xf5d4 B: 0x8707 -> Res=0x72d3 Z=0
PASS | Op: OR A: 0xade9 B: 0x8b8b -> Res=0xafeb Z=0
PASS | Op: XOR A: 0x8bdb B: 0x4280 -> Res=0xc95b Z=0
PASS | Op: ADD A: 0xdac5 B: 0xfa30 -> Res=0xd4f5 Z=0
PASS | Op: XOR A: 0xaff8 B: 0xac06 -> Res=0x3fe Z=0
PASS | Op: ADD A: 0x37e1 B: 0x7c95 -> Res=0xb476 Z=0
PASS | Op: XOR A: 0x7d64 B: 0x3729 -> Res=0x4a4d Z=0
PASS | Op: OR A: 0x5277 B: 0x156e -> Res=0x577f Z=0
PASS | Op: SUB A: 0xb9d5 B: 0xd568 -> Res=0xe46d Z=0
PASS | Op: ADD A: 0xaa B: 0xc30f -> Res=0xc3b9 Z=0
PASS | Op: ADD A: 0x4d3c B: 0xe6a9 -> Res=0x33e5 Z=0
PASS | Op: OR A: 0xd05b B: 0x3caf -> Res=0xfcff Z=0
PASS | Op: SUB A: 0xdb9 B: 0x2d13 -> Res=0xe0a6 Z=0
PASS | Op: XOR A: 0x4165 B: 0x2751 -> Res=0x6634 Z=0
PASS | Op: OR A: 0x762 B: 0x6ae4 -> Res=0x6fe6 Z=0
PASS | Op: SUB A: 0x447d B: 0x5f59 -> Res=0xe524 Z=0
PASS | Op: XOR A: 0xd1af B: 0x1cdb -> Res=0xcd74 Z=0
PASS | Op: AND A: 0x3dbd B: 0xde6a -> Res=0x1c28 Z=0
PASS | Op: XOR A: 0x8478 B: 0x89f6 -> Res=0xd8e Z=0
PASS | Op: ADD A: 0x9b23 B: 0xab79 -> Res=0x469c Z=0
PASS | Op: SUB A: 0x30c B: 0x98ce -> Res=0x6a3e Z=0
PASS | Op: XOR A: 0xdc59 B: 0x6fb9 -> Res=0xb3e0 Z=0
PASS | Op: AND A: 0xbff4 B: 0xe275 -> Res=0xa274 Z=0
PASS | Op: AND A: 0xf905 B: 0x434e -> Res=0x4104 Z=0
PASS | Op: ADD A: 0x51b8 B: 0xb208 -> Res=0x3c0 Z=0
PASS | Op: XOR A: 0x8eaf B: 0x31e8 -> Res=0xbf47 Z=0
PASS | Op: OR A: 0xabf5 B: 0x904c -> Res=0xbbfd Z=0
PASS | Op: XOR A: 0x1070 B: 0xf92d -> Res=0xe95d Z=0
PASS | Op: AND A: 0x51bc B: 0x830 -> Res=0x30 Z=0
PASS | Op: XOR A: 0x6950 B: 0x6aa1 -> Res=0x3f1 Z=0
PASS | Op: XOR A: 0x1294 B: 0xa66a -> Res=0xb4fe Z=0
PASS | Op: AND A: 0x7455 B: 0xdbb7 -> Res=0x5015 Z=0
PASS | Op: OR A: 0xa55a B: 0x851c -> Res=0xa55e Z=0
PASS | Op: AND A: 0x1fab B: 0xd9d0 -> Res=0x1980 Z=0
PASS | Op: AND A: 0x6dd8 B: 0x8845 -> Res=0x840 Z=0
PASS | Op: SUB A: 0x238b B: 0x91fc -> Res=0x918f Z=0
PASS | Op: XOR A: 0xaa4 B: 0x8d19 -> Res=0x87bd Z=0
PASS | Op: SUB A: 0x6bc4 B: 0x435c -> Res=0x2868 Z=0
PASS | Op: XOR A: 0xd1aa B: 0x31a -> Res=0xd2b0 Z=0
PASS | Op: ADD A: 0xe9b2 B: 0x630c -> Res=0x4cbe Z=0
PASS | Op: AND A: 0xfdc3 B: 0x73eb -> Res=0x71c3 Z=0
PASS | Op: SUB A: 0x3f2 B: 0xad89 -> Res=0x5669 Z=0
PASS | Op: SUB A: 0x4b1b B: 0x28ad -> Res=0x226e Z=0
PASS | Op: OR A: 0x1225 B: 0x57cf -> Res=0x57ef Z=0
PASS | Op: ADD A: 0xd21b B: 0x3e80 -> Res=0x109b Z=0
PASS | Op: AND A: 0xfd82 B: 0x4204 -> Res=0x4000 Z=0
PASS | Op: ADD A: 0x8b36 B: 0x332 -> Res=0x8e68 Z=0
PASS | Op: ADD A: 0xaee4 B: 0xec16 -> Res=0x9afa Z=0
PASS | Op: SUB A: 0x65c0 B: 0x882e -> Res=0xdd92 Z=0
PASS | Op: XOR A: 0xc271 B: 0x8ffb -> Res=0x4d8a Z=0
PASS | Op: XOR A: 0x21eb B: 0x3bb5 -> Res=0x1a5e Z=0
PASS | Op: ADD A: 0x8e0e B: 0x14f1 -> Res=0xa2ff Z=0
PASS | Op: SUB A: 0x4305 B: 0xeb1c -> Res=0x57e9 Z=0
PASS | Op: XOR A: 0x88ec B: 0xd62a -> Res=0x5ec6 Z=0
PASS | Op: ADD A: 0x537 B: 0x3603 -> Res=0x3b3a Z=0
PASS | Op: ADD A: 0xdcfd B: 0xe3e -> Res=0xeb3b Z=0
PASS | Op: AND A: 0x2efe B: 0xd36 -> Res=0xc36 Z=0
PASS | Op: OR A: 0xabfb B: 0x7c6b -> Res=0xfffb Z=0
PASS | Op: OR A: 0x360f B: 0xb614 -> Res=0xb61f Z=0
PASS | Op: ADD A: 0xc26b B: 0xeb04 -> Res=0xad6f Z=0
PASS | Op: ADD A: 0x618d B: 0x70e1 -> Res=0xd26e Z=0
PASS | Op: ADD A: 0x3246 B: 0xcb3c -> Res=0xfd82 Z=0
PASS | Op: SUB A: 0x23dc B: 0xc330 -> Res=0x60ac Z=0
PASS | Op: AND A: 0xe500 B: 0xf43 -> Res=0x500 Z=0
PASS | Op: XOR A: 0x9aa1 B: 0x1f53 -> Res=0x85f2 Z=0
PASS | Op: SUB A: 0x3831 B: 0xc012 -> Res=0x781f Z=0
PASS | Op: AND A: 0x6b0d B: 0x1315 -> Res=0x305 Z=0
PASS | Op: OR A: 0xe6dc B: 0x1078 -> Res=0xf6fc Z=0
PASS | Op: SUB A: 0x265f B: 0x5b23 -> Res=0xcb3c Z=0
PASS | Op: AND A: 0x1738 B: 0x4d22 -> Res=0x520 Z=0
PASS | Op: OR A: 0x4cc7 B: 0x6282 -> Res=0x6ec7 Z=0
PASS | Op: AND A: 0x22c7 B: 0xa424 -> Res=0x2004 Z=0
PASS | Op: SUB A: 0x1408 B: 0x6f75 -> Res=0xa493 Z=0
PASS | Op: ADD A: 0x721a B: 0x1338 -> Res=0x8552 Z=0
PASS | Op: XOR A: 0xa058 B: 0x6a50 -> Res=0xca08 Z=0
PASS | Op: XOR A: 0xe3a4 B: 0xdf65 -> Res=0x3cc1 Z=0
PASS | Op: ADD A: 0x3906 B: 0x8054 -> Res=0xb95a Z=0
PASS | Op: XOR A: 0xf3f8 B: 0x32b5 -> Res=0xc14d Z=0
PASS | Op: ADD A: 0xd583 B: 0xe39b -> Res=0xb91e Z=0
PASS | Op: SUB A: 0x53b0 B: 0x82fb -> Res=0xd0b5 Z=0
PASS | Op: XOR A: 0xa630 B: 0xc418 -> Res=0x6228 Z=0
PASS | Op: SUB A: 0xeade B: 0x2cd3 -> Res=0xbe0b Z=0
PASS | Op: XOR A: 0x69e9 B: 0x7958 -> Res=0x10b1 Z=0
PASS | Op: OR A: 0xe5c3 B: 0x13d4 -> Res=0xf7d7 Z=0
PASS | Op: XOR A: 0x4483 B: 0xefa0 -> Res=0xab23 Z=0
PASS | Op: ADD A: 0xcbbf B: 0xdb45 -> Res=0xa704 Z=0
PASS | Op: XOR A: 0x6331 B: 0xfe9c -> Res=0x9dad Z=0
PASS | Op: OR A: 0xfaa B: 0xf128 -> Res=0xffaa Z=0
PASS | Op: ADD A: 0x7cfb B: 0x728b -> Res=0xef86 Z=0
PASS | Op: SUB A: 0x28cc B: 0x1371 -> Res=0x155b Z=0
PASS | Op: XOR A: 0xdb61 B: 0x487b -> Res=0x931a Z=0
PASS | Op: SUB A: 0xbc91 B: 0x98c0 -> Res=0x23d1 Z=0
PASS | Op: ADD A: 0xb47e B: 0x7354 -> Res=0x27d2 Z=0
PASS | Op: AND A: 0x2849 B: 0x7de7 -> Res=0x2841 Z=0
PASS | Op: ADD A: 0xd583 B: 0x5b -> Res=0xd5de Z=0
PASS | Op: AND A: 0x5fe6 B: 0xaeaf -> Res=0xea6 Z=0
PASS | Op: XOR A: 0x6012 B: 0xb3fc -> Res=0xd3ee Z=0
PASS | Op: AND A: 0xcafe B: 0x6b74 -> Res=0x4a74 Z=0
PASS | Op: ADD A: 0xbbe2 B: 0x48e2 -> Res=0x4c4 Z=0
PASS | Op: ADD A: 0xe298 B: 0xed9f -> Res=0xd037 Z=0
PASS | Op: OR A: 0x89f2 B: 0x7bbd -> Res=0xfbff Z=0
PASS | Op: SUB A: 0xfb4 B: 0xac54 -> Res=0x6360 Z=0
PASS | Op: ADD A: 0xd413 B: 0x91ac -> Res=0x65bf Z=0
PASS | Op: ADD A: 0x1f3b B: 0x2435 -> Res=0x4370 Z=0
PASS | Op: XOR A: 0x9934 B: 0xa255 -> Res=0x3b61 Z=0
PASS | Op: XOR A: 0xfef2 B: 0x36a7 -> Res=0xc855 Z=0
PASS | Op: ADD A: 0x16e4 B: 0xa241 -> Res=0xb925 Z=0
PASS | Op: AND A: 0xd8fa B: 0xd0cd -> Res=0xd0c8 Z=0
PASS | Op: ADD A: 0x86b5 B: 0x82e8 -> Res=0x99d Z=0
PASS | Op: OR A: 0x2e12 B: 0x8f37 -> Res=0xaf37 Z=0
PASS | Op: XOR A: 0xa4f8 B: 0x4e20 -> Res=0xead8 Z=0
PASS | Op: XOR A: 0x222 B: 0x55ec -> Res=0x57ce Z=0
PASS | Op: ADD A: 0x5b7a B: 0x511e -> Res=0xac98 Z=0
PASS | Op: XOR A: 0x5e5e B: 0x2d7c -> Res=0x7322 Z=0
PASS | Op: XOR A: 0x548b B: 0xd312 -> Res=0x8799 Z=0
PASS | Op: SUB A: 0xd683 B: 0xe1 -> Res=0xd5a2 Z=0
PASS | Op: AND A: 0x5c4a B: 0x73d5 -> Res=0x5040 Z=0
PASS | Op: XOR A: 0xeee4 B: 0x8cf4 -> Res=0x6210 Z=0
PASS | Op: OR A: 0x81f3 B: 0x472d -> Res=0xc7ff Z=0
PASS | Op: AND A: 0xb3ff B: 0x8578 -> Res=0x8178 Z=0
PASS | Op: SUB A: 0xf727 B: 0xffb -> Res=0xe72c Z=0
PASS | Op: XOR A: 0x9b0c B: 0x97bb -> Res=0xcb7 Z=0
PASS | Op: ADD A: 0x3a49 B: 0x7b6a -> Res=0xb5b3 Z=0
PASS | Op: ADD A: 0xd218 B: 0xe996 -> Res=0xbbae Z=0
PASS | Op: XOR A: 0x712e B: 0xd4bd -> Res=0xa593 Z=0
PASS | Op: XOR A: 0x306f B: 0x4cc9 -> Res=0x7ca6 Z=0
PASS | Op: ADD A: 0xf1df B: 0xe30d -> Res=0xd4ec Z=0
PASS | Op: XOR A: 0x6783 B: 0xc451 -> Res=0xa3d2 Z=0
PASS | Op: AND A: 0x7280 B: 0x4f9 -> Res=0x80 Z=0
PASS | Op: AND A: 0x3aca B: 0x64df -> Res=0x20ca Z=0
PASS | Op: ADD A: 0x7584 B: 0x88b0 -> Res=0xfe34 Z=0
PASS | Op: OR A: 0xfb09 B: 0x23d7 -> Res=0xfbdf Z=0
PASS | Op: OR A: 0xf99a B: 0x872f -> Res=0xffbf Z=0
PASS | Op: ADD A: 0x83b7 B: 0x72c6 -> Res=0xf67d Z=0
PASS | Op: XOR A: 0x3a9b B: 0x62 -> Res=0x3af9 Z=0
PASS | Op: SUB A: 0x832e B: 0x128d -> Res=0x70a1 Z=0
PASS | Op: SUB A: 0xb4aa B: 0xf0a0 -> Res=0xc40a Z=0
PASS | Op: ADD A: 0xd57d B: 0x2158 -> Res=0xf6d5 Z=0
PASS | Op: ADD A: 0x2f97 B: 0xa206 -> Res=0xd19d Z=0
PASS | Op: XOR A: 0x744e B: 0x65b9 -> Res=0x11f7 Z=0
PASS | Op: ADD A: 0xc239 B: 0x4f81 -> Res=0x11ba Z=0
PASS | Op: AND A: 0x880f B: 0xcb33 -> Res=0x8803 Z=0
PASS | Op: OR A: 0xa556 B: 0x529a -> Res=0xf7de Z=0
PASS | Op: XOR A: 0x749 B: 0x77d3 -> Res=0x709a Z=0
PASS | Op: SUB A: 0xf5d8 B: 0xe78 -> Res=0xe760 Z=0
PASS | Op: SUB A: 0x682c B: 0x1cd3 -> Res=0x4b59 Z=0
PASS | Op: ADD A: 0x5100 B: 0x5fac -> Res=0xb0ac Z=0
PASS | Op: ADD A: 0x586c B: 0x40a0 -> Res=0x990c Z=0
PASS | Op: XOR A: 0x4fd1 B: 0xf00 -> Res=0x40d1 Z=0
PASS | Op: XOR A: 0x87d8 B: 0xbbc0 -> Res=0x3c18 Z=0
PASS | Op: XOR A: 0xb0d1 B: 0xc51 -> Res=0xbc80 Z=0
PASS | Op: ADD A: 0xbe45 B: 0x67b3 -> Res=0x25f8 Z=0
PASS | Op: SUB A: 0xc680 B: 0x53fc -> Res=0x7284 Z=0
PASS | Op: XOR A: 0x8081 B: 0xdc31 -> Res=0x5cb0 Z=0
PASS | Op: AND A: 0xfd83 B: 0x423f -> Res=0x4003 Z=0
PASS | Op: XOR A: 0x8c64 B: 0x937e -> Res=0x1f1a Z=0
PASS | Op: OR A: 0xfb8e B: 0x4d9e -> Res=0xff9e Z=0
PASS | Op: OR A: 0x9b49 B: 0xfa0a -> Res=0xfb4b Z=0
PASS | Op: ADD A: 0xc851 B: 0x8649 -> Res=0x4e9a Z=0
PASS | Op: XOR A: 0xe22f B: 0x5a83 -> Res=0xb8ac Z=0
PASS | Op: XOR A: 0xdbd4 B: 0x4494 -> Res=0x9f40 Z=0
PASS | Op: ADD A: 0xae41 B: 0x15f7 -> Res=0xc438 Z=0
PASS | Op: XOR A: 0x2f72 B: 0xa5a2 -> Res=0x8ad0 Z=0
PASS | Op: AND A: 0x292 B: 0xb0cb -> Res=0x82 Z=0
PASS | Op: XOR A: 0x56b5 B: 0xd08 -> Res=0x5bbd Z=0
PASS | Op: SUB A: 0x983f B: 0xf2b0 -> Res=0xa58f Z=0
PASS | Op: AND A: 0x3032 B: 0x505 -> Res=0x0 Z=0
PASS | Op: ADD A: 0x8a8d B: 0x39c9 -> Res=0xc456 Z=0
PASS | Op: XOR A: 0xdeb4 B: 0x7fe5 -> Res=0xa151 Z=0
PASS | Op: OR A: 0xc523 B: 0xa32d -> Res=0xe72f Z=0
PASS | Op: XOR A: 0xc55e B: 0x27b4 -> Res=0xe2ea Z=0
PASS | Op: ADD A: 0xc164 B: 0x8b64 -> Res=0x4cc8 Z=0
PASS | Op: ADD A: 0xfa6b B: 0x23ab -> Res=0x1e16 Z=0
PASS | Op: XOR A: 0x4c93 B: 0x326 -> Res=0x4fb5 Z=0
PASS | Op: XOR A: 0xe809 B: 0x846c -> Res=0x6c65 Z=0
PASS | Op: XOR A: 0xbdb0 B: 0xb8f7 -> Res=0x547 Z=0
PASS | Op: AND A: 0xc057 B: 0xf376 -> Res=0xc056 Z=0
PASS | Op: SUB A: 0xbdb4 B: 0xa21d -> Res=0x1b97 Z=0
PASS | Op: ADD A: 0x6346 B: 0x9366 -> Res=0xf6ac Z=0
PASS | Op: AND A: 0xd13f B: 0xf554 -> Res=0xd114 Z=0
PASS | Op: ADD A: 0x344c B: 0x9006 -> Res=0xc452 Z=0
PASS | Op: ADD A: 0x6d2d B: 0xdc86 -> Res=0x49b3 Z=0
PASS | Op: OR A: 0xfdb8 B: 0xcaef -> Res=0xffff Z=0
PASS | Op: OR A: 0xaa9 B: 0x74cf -> Res=0x7eef Z=0
PASS | Op: XOR A: 0xdd40 B: 0x73b6 -> Res=0xaef6 Z=0
PASS | Op: OR A: 0xc45a B: 0x97e1 -> Res=0xd7fb Z=0
PASS | Op: XOR A: 0x6027 B: 0xb144 -> Res=0xd163 Z=0
PASS | Op: AND A: 0x9e9f B: 0x93a8 -> Res=0x9288 Z=0
PASS | Op: ADD A: 0x5d85 B: 0x9d85 -> Res=0xfb0a Z=0
PASS | Op: ADD A: 0x988 B: 0x596 -> Res=0xf1e Z=0
PASS | Op: XOR A: 0x754e B: 0x3f2f -> Res=0x4a61 Z=0
PASS | Op: AND A: 0x704b B: 0xff91 -> Res=0x7001 Z=0
PASS | Op: XOR A: 0x911c B: 0xed28 -> Res=0x7c34 Z=0
PASS | Op: OR A: 0x795d B: 0x61ee -> Res=0x79ff Z=0
PASS | Op: ADD A: 0x95bb B: 0x1478 -> Res=0xaa33 Z=0
PASS | Op: OR A: 0xb75d B: 0xfa1e -> Res=0xff5f Z=0
PASS | Op: XOR A: 0x79cb B: 0xf1db -> Res=0x8810 Z=0
PASS | Op: XOR A: 0x4320 B: 0xbb04 -> Res=0xf824 Z=0
PASS | Op: XOR A: 0x10cd B: 0x2c92 -> Res=0x3c5f Z=0
PASS | Op: OR A: 0x6aa9 B: 0xfc9e -> Res=0xfebf Z=0
PASS | Op: OR A: 0x2dc0 B: 0x424b -> Res=0x6fcb Z=0
PASS | Op: OR A: 0x2981 B: 0xd8b2 -> Res=0xf9b3 Z=0
PASS | Op: ADD A: 0xc5fc B: 0x44af -> Res=0xaab Z=0
PASS | Op: AND A: 0xdf0e B: 0x8775 -> Res=0x8704 Z=0
PASS | Op: AND A: 0x6e0d B: 0x3127 -> Res=0x2005 Z=0
PASS | Op: ADD A: 0xe881 B: 0xaa68 -> Res=0x92e9 Z=0
PASS | Op: ADD A: 0xca6f B: 0x362a -> Res=0x99 Z=0
PASS | Op: XOR A: 0x40a0 B: 0x53fa -> Res=0x135a Z=0
PASS | Op: XOR A: 0xe333 B: 0xd700 -> Res=0x3433 Z=0
PASS | Op: AND A: 0x2d70 B: 0xaa29 -> Res=0x2820 Z=0
PASS | Op: ADD A: 0x7196 B: 0x5dd7 -> Res=0xcf6d Z=0
PASS | Op: OR A: 0xde06 B: 0x4a -> Res=0xde4e Z=0
PASS | Op: XOR A: 0xbf41 B: 0x788 -> Res=0xb8c9 Z=0
PASS | Op: OR A: 0xe26c B: 0x2455 -> Res=0xe67d Z=0
PASS | Op: AND A: 0x76d3 B: 0x2218 -> Res=0x2210 Z=0
PASS | Op: XOR A: 0xcff9 B: 0x1c8 -> Res=0xce31 Z=0
PASS | Op: OR A: 0x4848 B: 0xabe3 -> Res=0xebeb Z=0
PASS | Op: ADD A: 0x218a B: 0x3667 -> Res=0x57f1 Z=0
PASS | Op: XOR A: 0xef60 B: 0xbf4e -> Res=0x502e Z=0
PASS | Op: AND A: 0x68e8 B: 0xe198 -> Res=0x6088 Z=0
PASS | Op: XOR A: 0x2bf8 B: 0x48d -> Res=0x2f75 Z=0
PASS | Op: ADD A: 0xc6af B: 0x2f38 -> Res=0xf5e7 Z=0
